J,Kp,Kd
21200.0,0.0812,0.33999999999999997
21200.0,0.0864,0.36
21200.0,0.0916,0.38
21200.0,0.0968,0.39999999999999997
21200.0,0.10200000000000001,0.42
21200.0,0.1072,0.43999999999999995
21200.0,0.10980000000000001,0.45999999999999996
21200.0,0.115,0.48
21200.0,0.1202,0.49999999999999994
21200.0,0.1254,0.52
21200.0,0.1306,0.54
21200.0,0.1358,0.5599999999999999
21400.0,0.1462,0.5999999999999999
21600.0,0.1358,0.5599999999999999
21800.0,0.0708,0.3
21800.0,0.076,0.32
21800.0,0.0812,0.33999999999999997
21800.0,0.089,0.38
21800.0,0.0942,0.39999999999999997
21800.0,0.0994,0.42
21800.0,0.1046,0.43999999999999995
21800.0,0.10980000000000001,0.45999999999999996
21800.0,0.115,0.48
21800.0,0.1176,0.49999999999999994
21800.0,0.1228,0.52
21800.0,0.128,0.54
21800.0,0.13319999999999999,0.5599999999999999
21800.0,0.1384,0.58
22000.0,0.0656,0.28
22000.0,0.0708,0.3
22000.0,0.076,0.32
22000.0,0.0994,0.42
22000.0,0.1046,0.43999999999999995
22000.0,0.10980000000000001,0.45999999999999996
22000.0,0.1228,0.52
22000.0,0.128,0.54
22000.0,0.13319999999999999,0.5599999999999999
22000.0,0.1384,0.58
22000.0,0.14100000000000001,0.5999999999999999
22200.0,0.0708,0.3
22200.0,0.076,0.32
22200.0,0.0812,0.33999999999999997
22200.0,0.089,0.38
22200.0,0.0942,0.39999999999999997
22200.0,0.0994,0.42
22200.0,0.1046,0.43999999999999995
22200.0,0.10980000000000001,0.45999999999999996
22200.0,0.115,0.48
22200.0,0.1176,0.49999999999999994
22200.0,0.1228,0.52
22200.0,0.128,0.54
22200.0,0.13319999999999999,0.5599999999999999
22200.0,0.1384,0.58
22400.0,0.0656,0.28
22400.0,0.0708,0.3
22400.0,0.076,0.32
22400.0,0.0812,0.33999999999999997
22400.0,0.0994,0.42
22400.0,0.1046,0.43999999999999995
22400.0,0.10980000000000001,0.45999999999999996
22400.0,0.1228,0.52
22400.0,0.128,0.54
22400.0,0.13319999999999999,0.5599999999999999
22400.0,0.1384,0.58
22400.0,0.1436,0.5999999999999999
22600.0,0.14100000000000001,0.5999999999999999
22800.0,0.14100000000000001,0.5999999999999999
23000.0,0.14100000000000001,0.5999999999999999
23200.0,0.06820000000000001,0.3
23200.0,0.07339999999999999,0.32
23200.0,0.0786,0.33999999999999997
23200.0,0.0916,0.39999999999999997
23200.0,0.0968,0.42
23200.0,0.115,0.49999999999999994
23200.0,0.1202,0.52
23200.0,0.1254,0.54
23200.0,0.128,0.5599999999999999
23200.0,0.13319999999999999,0.58
23200.0,0.1384,0.5999999999999999
23400.0,0.07339999999999999,0.32
23400.0,0.0786,0.33999999999999997
23400.0,0.0864,0.38
23400.0,0.0916,0.39999999999999997
23400.0,0.0968,0.42
23400.0,0.10200000000000001,0.43999999999999995
23400.0,0.1046,0.45999999999999996
23400.0,0.10980000000000001,0.48
23400.0,0.115,0.49999999999999994
23400.0,0.1202,0.52
23400.0,0.1254,0.54
23400.0,0.128,0.5599999999999999
23400.0,0.13319999999999999,0.58
23400.0,0.1384,0.5999999999999999
23600.0,0.06820000000000001,0.3
23600.0,0.07339999999999999,0.32
23600.0,0.0786,0.33999999999999997
23600.0,0.0916,0.39999999999999997
23600.0,0.0968,0.42
23600.0,0.115,0.49999999999999994
23600.0,0.1202,0.52
23600.0,0.1254,0.54
23600.0,0.13319999999999999,0.58
23600.0,0.1384,0.5999999999999999
23800.0,0.05,0.22
23800.0,0.0552,0.24
23800.0,0.07339999999999999,0.32
23800.0,0.0786,0.33999999999999997
23800.0,0.0916,0.39999999999999997
23800.0,0.0968,0.42
23800.0,0.10200000000000001,0.43999999999999995
23800.0,0.1072,0.45999999999999996
23800.0,0.10980000000000001,0.48
23800.0,0.115,0.49999999999999994
23800.0,0.1202,0.52
23800.0,0.1254,0.54
23800.0,0.13319999999999999,0.58
23800.0,0.1384,0.5999999999999999
24000.0,0.1358,0.5999999999999999
24200.0,0.1358,0.5999999999999999
24400.0,0.1358,0.5999999999999999
24600.0,0.076,0.33999999999999997
24600.0,0.089,0.39999999999999997
24600.0,0.0942,0.42
